year,title,artist,number
2011,미친거니 (Feat. 방용국) ,송지은,3164048
2011,그 남자 그 여자 ,포맨 (4MEN),3590149
2011,사랑 사랑아 ,다비치,3536906
2011,STEP ,카라,3538478
2012,강남스타일 ,싸이 (PSY),3853978
2012,나혼자 (Alone) ,씨스타,3763493
2012,벚꽃 엔딩 ,버스커 버스커,3753304
2012,Loving U (러빙유) ,씨스타,3837683
2012,FANTASTIC BABY ,BIGBANG (빅뱅),3715676
2012,I Love You ,2NE1,3847197
2012,정말로 사랑한다면 ,버스커 버스커,3832101
2012,Heaven ,에일리(Ailee),3701333
2012,하루 끝 ,아이유,3795586
2012,첫사랑 ,버스커 버스커,3753302
2012,Lovey-Dovey ,티아라,3663978
2012,Twinkle ,소녀시대-태티서 (Girls' Generation-TTS),3783041
2012,바람기억 ,나얼,3910821
2012,나를 사랑했던 사람아 ,허각,3758104
2012,여수 밤바다 ,버스커 버스커,3753303
2012,MONSTER ,BIGBANG (빅뱅),3818487
2012,I Need You ,허각,3884575
2012,BLUE ,BIGBANG (빅뱅),3715672
2012,목소리 (Feat. 개리 Of 리쌍) ,백지영,3791867
2012,Like this ,원더걸스,3815739
2012,이러지마 제발 (Please Don't...) ,케이윌,3922071
2012,너랑 나 ,아이유,3625504
2012,"1,2,3,4 (원,투,쓰리,포) ",이하이,3946768
2012,보여줄게 ,에일리(Ailee),3929469
2012,충분히 예뻐 (feat. 산체스 Of 팬텀) ,버벌진트,3832079
2012,먼지가 되어 ,로이킴,3928293
2012,DAY BY DAY ,티아라,3840800
2012,애상 ,10CM,3666573
2012,어땠을까 (Feat. 박정현) ,싸이 (PSY),3853980
2012,Electric Shock ,f(x),3822622
2012,뜨거운 안녕 (Feat. 성시경) ,싸이 (PSY),3853977
2012,illa illa (일라 일라) ,JUNIEL,3820647
2012,크레용 (Crayon) ,G-DRAGON,3906377
2012,그댈 마주하는건 힘들어 (그마힘) ,버스커 버스커,3832098
2012,피어나 ,가인,3911750
2012,Trouble Maker ,트러블메이커,3630755
2012,립스틱 (LIPSTICK) ,오렌지 캬라멜,3903316
2012,"Officially Missing You, Too ",긱스 (Geeks),3946867
2012,꽃송이가 ,버스커 버스커,3753309
2012,Only One ,보아 (BoA),3859894
